Code,Year,GDP Per Capita,,
THA,1955,1506,,
TGO,1955,940,,
TTO,1955,6880,,
TUN,1955,1855,,
TUR,1955,2754,,
OWID_USS,1955,5281,,
UGA,1955,1071,,
ARE,1955,31374,,
GBR,1955,12541,,
USA,1955,17370,,
URY,1955,8176,,
VEN,1955,10501,,
VNM,1955,1195,,
YEM,1955,1502,,
OWID_YGS,1955,2721,,
ZMB,1955,1173,,
ZWE,1955,1288,,
AFG,1956,1278,,
ALB,1956,1902,,
DZA,1956,2475,,
AGO,1956,1769,,
ARG,1956,8424,,
AUS,1956,12924,,
AUT,1956,8603,,
BHR,1956,4141,,
BGD,1956,878,,
BRB,1956,4390,,
BEL,1956,10237,,
BEN,1956,1444,,
BOL,1956,2719,,
BIH,1956,1932,,
BWA,1956,537,,
BRA,1956,2672,,
BGR,1956,3392,,
BFA,1956,883,,
BDI,1956,687,,
KHM,1956,912,,
CMR,1956,1229,,
CAN,1956,13791,,
CPV,1956,1047,,
CAF,1956,1492,,
TCD,1956,926,,
CHL,1956,6285,,
CHN,1956,1189,,
COL,1956,3811,,
COM,1956,606,,
COG,1956,1884,,
CRI,1956,3668,,
CIV,1956,1824,,
HRV,1956,3564,,
CUB,1956,2740,,
CYP,1956,3688,,
OWID_CZS,1956,6551,,
COD,1956,1224,,
DNK,1956,11858,,
DJI,1956,3810,,
DMA,1956,1203,,
DOM,1956,2008,,
ECU,1956,3381,,
EGY,1956,1443,,
SLV,1956,2715,,
GNQ,1956,940,,
SWZ,1956,673,,
ETH,1956,682,,
FIN,1956,8440,,
,1956,1556,,
FRA,1956,10278,,
GAB,1956,3539,,
GMB,1956,1086,,
DEU,1956,9846,,
GHA,1956,1970,,
GRC,1956,4313,,
GTM,1956,3347,,
GIN,1956,610,,
GNB,1956,703,,
HTI,1956,1897,,
HND,1956,2080,,
HKG,1956,4450,,
HUN,1956,4632,,
ISL,1956,10323,,
IND,1956,1117,,
IDN,1956,1533,,
IRN,1956,2541,,
IRQ,1956,3808,,
IRL,1956,6212,,
ISR,1956,6153,,
ITA,1956,7745,,
JAM,1956,3491,,
JPN,1956,4699,,
JOR,1956,3410,,
KEN,1956,1173,,
KWT,1956,52404,,
LAO,1956,744,,
LBN,1956,6663,,
LSO,1956,735,,
LBR,1956,3494,,
LBY,1956,950,,
LUX,1956,14343,,
MDG,1956,1709,,
MWI,1956,599,,
MYS,1956,2399,,
MLI,1956,803,,
MLT,1956,2150,,
MRT,1956,797,,
MUS,1956,4106,,
MEX,1956,4213,,
MNG,1956,810,,
MNE,1956,1906,,
MAR,1956,2313,,
MOZ,1956,1980,,
MMR,1956,781,,
NAM,1956,4340,,
NPL,1956,925,,
NLD,1956,11953,,
NZL,1956,14346,,
NIC,1956,3186,,
NER,1956,1103,,
NGA,1956,1309,,
MKD,1956,2799,,
NOR,1956,10480,,
OMN,1956,1274,,
PAK,1956,1017,,
PSE,1956,1930,,
PAN,1956,2836,,
PRY,1956,2335,,
PER,1956,4385,,
PHL,1956,2248,,
POL,1956,4565,,
PRT,1956,4087,,
PRI,1956,4525,,
QAT,1956,50628,,
ROU,1956,2587.6025,,
RUS,1956,4615.279,,
RWA,1956,1156,,
LCA,1956,1433,,
STP,1956,1256,,
SAU,1956,4901,,
SEN,1956,2212,,
SRB,1956,2447,,
SYC,1956,2949,,
SLE,1956,1070,,
SGP,1956,3241,,
SVN,1956,4889,,
ZAF,1956,4645,,
KOR,1956,1381.9828,,
ESP,1956,4763.9624,,
LKA,1956,2091,,
SWE,1956,12428,,
CHE,1956,14507.061,,
SYR,1956,5592,,
TWN,1956,1926,,
TZA,1956,724,,
THA,1956,1482,,
TGO,1956,955,,
TTO,1956,8064,,
TUN,1956,1949,,
TUR,1956,2777,,
OWID_USS,1956,5684,,
UGA,1956,1100,,
ARE,1956,32481,,
GBR,1956,12639,,
USA,1956,17397,,
URY,1956,8225,,
VEN,1956,11136,,
VNM,1956,1218,,
YEM,1956,1508,,
OWID_YGS,1956,2560,,
ZMB,1956,1280,,
ZWE,1956,1422,,
AFG,1957,1253,,
ALB,1957,2023,,
DZA,1957,2699,,
AGO,1957,1908,,
ARG,1957,8705,,
AUS,1957,12895,,
AUT,1957,9111,,
BHR,1957,4262,,
BGD,1957,845,,
BRB,1957,4646,,
BEL,1957,10353,,
BEN,1957,1414,,
BOL,1957,2573,,
BIH,1957,2214,,
BWA,1957,544,,
BRA,1957,2793,,
BGR,1957,3714,,
BFA,1957,905,,
BDI,1957,701,,
KHM,1957,947,,
CMR,1957,1256,,
CAN,1957,13719,,
CPV,1957,1012,,
CAF,1957,1522,,
TCD,1957,945,,
CHL,1957,6758,,
CHN,1957,1195,,
COL,1957,3826,,
COM,1957,615,,
COG,1957,1914,,
CRI,1957,3835,,
CIV,1957,1852,,
HRV,1957,4203,,
CUB,1957,2922,,
CYP,1957,3848,,
OWID_CZS,1957,6886,,
COD,1957,1237,,
DNK,1957,12696,,
DJI,1957,3848,,
DMA,1957,1239,,
DOM,1957,2066,,
ECU,1957,3437,,
EGY,1957,1474,,
SLV,1957,2775,,
GNQ,1957,958,,
SWZ,1957,682,,
ETH,1957,665,,
FIN,1957,8751,,
,1957,1492,,
FRA,1957,10779,,
GAB,1957,3642,,
GMB,1957,1097,,
DEU,1957,10348,,
GHA,1957,1978,,
GRC,1957,4557,,
GTM,1957,3424,,
GIN,1957,622,,
GNB,1957,744,,
HTI,1957,1752,,
